awardYear,category,name,gender,birth_date,affiliation_1,birth_cityNow,birth_countryNow,motivation,award_link,laureate_link,age,affiliation_country,affiliation_zone,birth_zone,affiliation_lat,affiliation_lon,affiliation_zone_lat,affiliation_zone_lon,birth_lat,birth_lon,birth_zone_lat,birth_zone_lon
1935,Chemistry,Irène Joliot-Curie,female,1897-09-12,"Institut du Radium, Paris, France",Paris,France,in recognition of their synthesis of new radioactive elements,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1935,http://masterdataapi.nobelprize.org/2/laureate/194,38,France,Europe,Europe,46.97,2.7,48.55,5.72,46.97,2.7,48.55,5.72
1935,Physics,James Chadwick,male,1891-10-20,"Liverpool University, Liverpool, United Kingdom",Manchester,United Kingdom,for the discovery of the neutron,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1935,http://masterdataapi.nobelprize.org/2/laureate/41,44,United Kingdom,Europe,Europe,52.94,-1.23,48.55,5.72,52.94,-1.23,48.55,5.72
1935,Peace,Carl von Ossietzky,male,1889-10-03,,Hamburg,Germany,for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1935,http://masterdataapi.nobelprize.org/2/laureate/500,46,,,Europe,0.0,0.0,0.0,0.0,51.42,10.6,48.55,5.72
1935,Medicine,Hans Spemann,male,1869-06-27,"University of Freiburg im Breisgau, Breisgau, Germany",Stuttgart,Germany,for his discovery of the organizer effect in embryonic development,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1935,http://masterdataapi.nobelprize.org/2/laureate/329,66,Germany,Europe,Europe,51.42,10.6,48.55,5.72,51.42,10.6,48.55,5.72
1936,Chemistry,Peter Debye,male,1884-03-24,"Berlin University, Berlin, Germany",Maastricht,the Netherlands,for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1936,http://masterdataapi.nobelprize.org/2/laureate/195,52,Germany,Europe,Europe,51.42,10.6,48.55,5.72,52.52,5.74,48.55,5.72
1936,Physics,Victor F. Hess,male,1883-06-24,"Innsbruck University, Innsbruck, Austria",Peggau,Austria,for his discovery of cosmic radiation,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1936,http://masterdataapi.nobelprize.org/2/laureate/42,53,Austria,Europe,Europe,47.35,14.47,48.55,5.72,47.35,14.47,48.55,5.72
1936,Peace,Carlos Saavedra Lamas,male,1878-11-01,,Buenos Aires,Argentina,"for his role as father of the Argentine Antiwar Pact of 1933, which he also used as a means to mediate peace between Paraguay and Bolivia in 1935",https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1936,http://masterdataapi.nobelprize.org/2/laureate/501,58,,,Argentina,0.0,0.0,0.0,0.0,-37.57,-66.3,-37.57,-66.3
1936,Medicine,Otto Loewi,male,1873-06-03,"Graz University, Graz, Austria",Frankfurt-on-the-Main,Germany,for their discoveries relating to chemical transmission of nerve impulses,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1936,http://masterdataapi.nobelprize.org/2/laureate/331,63,Austria,Europe,Europe,47.35,14.47,48.55,5.72,51.42,10.6,48.55,5.72
1936,Physics,Carl D. Anderson,male,1905-09-03,"California Institute of Technology (Caltech), Pasadena, CA, USA","New York, NY",USA,for his discovery of the positron,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1936,http://masterdataapi.nobelprize.org/2/laureate/43,31,USA,North America,North America,38.51,-100.3,38.51,-100.3,38.51,-100.3,38.51,-100.3
1936,Medicine,Sir Henry Dale,male,1875-06-09,"National Institute for Medical Research, London, United Kingdom",London,United Kingdom,for their discoveries relating to chemical transmission of nerve impulses,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1936,http://masterdataapi.nobelprize.org/2/laureate/330,61,United Kingdom,Europe,Europe,52.94,-1.23,48.55,5.72,52.94,-1.23,48.55,5.72
1936,Literature,Eugene O'Neill,male,1888-10-16,,"New York, NY",USA,"for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1936,http://masterdataapi.nobelprize.org/2/laureate/608,48,,,North America,0.0,0.0,0.0,0.0,38.51,-100.3,38.51,-100.3
1937,Chemistry,Paul Karrer,male,1889-04-21,"University of Zurich, Zurich, Switzerland",Moscow,Russia,"for his investigations on carotenoids, flavins and vitamins A and B2",https://masterdataapi.nobelprize.org/2/nobelPrize/che/1937,http://masterdataapi.nobelprize.org/2/laureate/197,48,Switzerland,Europe,Russia,47.0,8.43,48.55,5.72,61.1,81.38,61.1,81.38
1937,Physics,George Paget Thomson,male,1892-05-03,"London University, London, United Kingdom",Cambridge,United Kingdom,for their experimental discovery of the diffraction of electrons by crystals,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1937,http://masterdataapi.nobelprize.org/2/laureate/45,45,United Kingdom,Europe,Europe,52.94,-1.23,48.55,5.72,52.94,-1.23,48.55,5.72
1937,Peace,"Robert Cecil, Viscount Cecil of Chelwood",male,1864-09-14,,London,United Kingdom,"for his tireless effort in support of the League of Nations, disarmament and peace",https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1937,http://masterdataapi.nobelprize.org/2/laureate/502,73,,,Europe,0.0,0.0,0.0,0.0,52.94,-1.23,48.55,5.72
1937,Physics,Clinton Davisson,male,1881-10-22,"Bell Telephone Laboratories, New York, NY, USA","Bloomington, IL",USA,for their experimental discovery of the diffraction of electrons by crystals,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1937,http://masterdataapi.nobelprize.org/2/laureate/44,56,USA,North America,North America,38.51,-100.3,38.51,-100.3,38.51,-100.3,38.51,-100.3
1937,Literature,Roger Martin du Gard,male,1881-03-23,,Neuilly-sur-Seine,France,for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1937,http://masterdataapi.nobelprize.org/2/laureate/609,56,,,Europe,0.0,0.0,0.0,0.0,46.97,2.7,48.55,5.72
1937,Chemistry,Norman Haworth,male,1883-03-19,"Birmingham University, Birmingham, United Kingdom",Chorley,United Kingdom,for his investigations on carbohydrates and vitamin C,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1937,http://masterdataapi.nobelprize.org/2/laureate/196,54,United Kingdom,Europe,Europe,52.94,-1.23,48.55,5.72,52.94,-1.23,48.55,5.72
1937,Medicine,Albert Szent-Györgyi,male,1893-09-16,"Szeged University, Szeged, Hungary",Budapest,Hungary,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid",https://masterdataapi.nobelprize.org/2/nobelPrize/med/1937,http://masterdataapi.nobelprize.org/2/laureate/332,44,Hungary,Europe,Europe,46.66,18.98,48.55,5.72,46.66,18.98,48.55,5.72
1938,Physics,Enrico Fermi,male,1901-09-29,"Rome University, Rome, Italy",Rome,Italy,"for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons",https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1938,http://masterdataapi.nobelprize.org/2/laureate/46,37,Italy,Europe,Europe,42.41,12.74,48.55,5.72,42.41,12.74,48.55,5.72
1938,Medicine,Corneille Heymans,male,1892-03-28,"Ghent University, Ghent, Belgium",Ghent,Belgium,for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1938,http://masterdataapi.nobelprize.org/2/laureate/333,46,Belgium,Europe,Europe,50.67,4.86,48.55,5.72,50.67,4.86,48.55,5.72
1938,Literature,Pearl Buck,female,1892-06-26,,"Hillsboro, WV",USA,for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1938,http://masterdataapi.nobelprize.org/2/laureate/610,46,,,North America,0.0,0.0,0.0,0.0,38.51,-100.3,38.51,-100.3
1938,Chemistry,Richard Kuhn,male,1900-12-03,"Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung, Heidelberg, Germany",Vienna,Austria,for his work on carotenoids and vitamins,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1938,http://masterdataapi.nobelprize.org/2/laureate/198,38,Germany,Europe,Europe,51.42,10.6,48.55,5.72,47.35,14.47,48.55,5.72
1939,Medicine,Gerhard Domagk,male,1895-10-30,"Munster University, Munster, Germany",Lagow,Poland,for the discovery of the antibacterial effects of prontosil,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1939,http://masterdataapi.nobelprize.org/2/laureate/334,44,Germany,Europe,Poland,51.42,10.6,48.55,5.72,0.0,0.0,0.0,0.0
1939,Chemistry,Leopold Ruzicka,male,1887-09-13,"Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology), Zurich, Switzerland",Vukovar,Croatia,for his work on polymethylenes and higher terpenes,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1939,http://masterdataapi.nobelprize.org/2/laureate/200,52,Switzerland,Europe,Croatia,47.0,8.43,48.55,5.72,0.0,0.0,0.0,0.0
1939,Literature,Frans Eemil Sillanpää,male,1888-09-16,,Hämeenkyrö,Finland,for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1939,http://masterdataapi.nobelprize.org/2/laureate/613,51,,,Europe,0.0,0.0,0.0,0.0,63.55,27.32,48.55,5.72
1939,Physics,Ernest Lawrence,male,1901-08-08,"University of California, Berkeley, CA, USA","Canton, SD",USA,"for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements",https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1939,http://masterdataapi.nobelprize.org/2/laureate/47,38,USA,North America,North America,38.51,-100.3,38.51,-100.3,38.51,-100.3,38.51,-100.3
1939,Chemistry,Adolf Butenandt,male,1903-03-24,"Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie, Berlin-Dahlem, Germany",Bremerhaven-Lehe,Germany,for his work on sex hormones,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1939,http://masterdataapi.nobelprize.org/2/laureate/199,36,Germany,Europe,Europe,51.42,10.6,48.55,5.72,51.42,10.6,48.55,5.72
1943,Medicine,Edward A. Doisy,male,1893-11-13,"Saint Louis University, St. Louis, MO, USA","Hume, IL",USA,for his discovery of the chemical nature of vitamin K,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1943,http://masterdataapi.nobelprize.org/2/laureate/336,50,USA,North America,North America,38.51,-100.3,38.51,-100.3,38.51,-100.3,38.51,-100.3
1943,Medicine,Henrik Dam,male,1895-02-21,"Polytechnic Institute, Copenhagen, Denmark",Copenhagen,Denmark,for his discovery of vitamin K,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1943,http://masterdataapi.nobelprize.org/2/laureate/335,48,Denmark,Europe,Europe,56.31,9.69,48.55,5.72,56.31,9.69,48.55,5.72
1943,Physics,Otto Stern,male,1888-02-17,"Carnegie Institute of Technology, Pittsburgh, PA, USA",Zory,Poland,for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1943,http://masterdataapi.nobelprize.org/2/laureate/48,55,USA,North America,Poland,38.51,-100.3,38.51,-100.3,0.0,0.0,0.0,0.0
1943,Chemistry,George de Hevesy,male,1885-08-01,"Stockholm University, Stockholm, Sweden",Budapest,Hungary,for his work on the use of isotopes as tracers in the study of chemical processes,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1943,http://masterdataapi.nobelprize.org/2/laureate/201,58,Sweden,Europe,Europe,60.8,15.21,48.55,5.72,46.66,18.98,48.55,5.72
1944,Chemistry,Otto Hahn,male,1879-03-08,"Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie, Berlin-Dahlem, Germany",Frankfurt-on-the-Main,Germany,for his discovery of the fission of heavy nuclei,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1944,http://masterdataapi.nobelprize.org/2/laureate/202,65,Germany,Europe,Europe,51.42,10.6,48.55,5.72,51.42,10.6,48.55,5.72
1944,Literature,Johannes V. Jensen,male,1873-01-20,,Farsø,Denmark,"for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1944,http://masterdataapi.nobelprize.org/2/laureate/614,71,,,Europe,0.0,0.0,0.0,0.0,56.31,9.69,48.55,5.72
1944,Physics,Isidor Isaac Rabi,male,1898-07-29,"Columbia University, New York, NY, USA",Rymanow,Poland,for his resonance method for recording the magnetic properties of atomic nuclei,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1944,http://masterdataapi.nobelprize.org/2/laureate/49,46,USA,North America,Poland,38.51,-100.3,38.51,-100.3,0.0,0.0,0.0,0.0
1944,Medicine,Herbert S. Gasser,male,1888-07-05,"Rockefeller Institute for Medical Research, New York, NY, USA","Platteville, WI",USA,for their discoveries relating to the highly differentiated functions of single nerve fibres,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1944,http://masterdataapi.nobelprize.org/2/laureate/338,56,USA,North America,North America,38.51,-100.3,38.51,-100.3,38.51,-100.3,38.51,-100.3
1944,Medicine,Joseph Erlanger,male,1874-01-05,"Washington University, St. Louis, MO, USA","San Francisco, CA",USA,for their discoveries relating to the highly differentiated functions of single nerve fibres,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1944,http://masterdataapi.nobelprize.org/2/laureate/337,70,USA,North America,North America,38.51,-100.3,38.51,-100.3,38.51,-100.3,38.51,-100.3
1945,Medicine,Sir Alexander Fleming,male,1881-08-06,"London University, London, United Kingdom",Lochfield,Scotland,for the discovery of penicillin and its curative effect in various infectious diseases,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1945,http://masterdataapi.nobelprize.org/2/laureate/339,64,United Kingdom,Europe,Scotland,52.94,-1.23,48.55,5.72,0.0,0.0,0.0,0.0
1945,Peace,Cordell Hull,male,1871-10-02,,"Olympus, TN",USA,for his indefatigable work for international understanding and his pivotal role in establishing the United Nations,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1945,http://masterdataapi.nobelprize.org/2/laureate/505,74,,,North America,0.0,0.0,0.0,0.0,38.51,-100.3,38.51,-100.3
1945,Physics,Wolfgang Pauli,male,1900-04-25,"Princeton University, Princeton, NJ, USA",Vienna,Austria,"for the discovery of the Exclusion Principle, also called the Pauli Principle",https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1945,http://masterdataapi.nobelprize.org/2/laureate/50,45,USA,North America,Europe,38.51,-100.3,38.51,-100.3,47.35,14.47,48.55,5.72
1945,Medicine,Sir Howard Florey,male,1898-09-24,"University of Oxford, Oxford, United Kingdom",Adelaide,Australia,for the discovery of penicillin and its curative effect in various infectious diseases,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1945,http://masterdataapi.nobelprize.org/2/laureate/341,47,United Kingdom,Europe,Australia,52.94,-1.23,48.55,5.72,-26.32,134.63,-26.32,134.63
1945,Literature,Gabriela Mistral,female,1889-04-07,,Vicuña,Chile,"for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1945,http://masterdataapi.nobelprize.org/2/laureate/615,56,,,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1945,Chemistry,Artturi Virtanen,male,1895-01-15,"University of Helsinki, Helsinki, Finland",Helsinki,Finland,"for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method",https://masterdataapi.nobelprize.org/2/nobelPrize/che/1945,http://masterdataapi.nobelprize.org/2/laureate/203,50,Finland,Europe,Europe,63.55,27.32,48.55,5.72,63.55,27.32,48.55,5.72
1945,Medicine,Ernst B. Chain,male,1906-06-19,"University of Oxford, Oxford, United Kingdom",Berlin,Germany,for the discovery of penicillin and its curative effect in various infectious diseases,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1945,http://masterdataapi.nobelprize.org/2/laureate/340,39,United Kingdom,Europe,Europe,52.94,-1.23,48.55,5.72,51.42,10.6,48.55,5.72
1946,Chemistry,Wendell M. Stanley,male,1904-08-16,"Rockefeller Institute for Medical Research, Princeton, NJ, USA","Ridgeville, IN",USA,for their preparation of enzymes and virus proteins in a pure form,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1946,http://masterdataapi.nobelprize.org/2/laureate/206,42,USA,North America,North America,38.51,-100.3,38.51,-100.3,38.51,-100.3,38.51,-100.3
1946,Chemistry,James B. Sumner,male,1887-11-19,"Cornell University, Ithaca, NY, USA","Canton, MA",USA,for his discovery that enzymes can be crystallized,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1946,http://masterdataapi.nobelprize.org/2/laureate/204,59,USA,North America,North America,38.51,-100.3,38.51,-100.3,38.51,-100.3,38.51,-100.3
1946,Chemistry,John H. Northrop,male,1891-07-05,"Rockefeller Institute for Medical Research, Princeton, NJ, USA","Yonkers, NY",USA,for their preparation of enzymes and virus proteins in a pure form,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1946,http://masterdataapi.nobelprize.org/2/laureate/205,55,USA,North America,North America,38.51,-100.3,38.51,-100.3,38.51,-100.3,38.51,-100.3
1946,Medicine,Hermann J. Muller,male,1890-12-21,"Indiana University, Bloomington, IN, USA","New York, NY",USA,for the discovery of the production of mutations by means of X-ray irradiation,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1946,http://masterdataapi.nobelprize.org/2/laureate/342,56,USA,North America,North America,38.51,-100.3,38.51,-100.3,38.51,-100.3,38.51,-100.3
1946,Literature,Hermann Hesse,male,1877-07-02,,Calw,Germany,"for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1946,http://masterdataapi.nobelprize.org/2/laureate/617,69,,,Europe,0.0,0.0,0.0,0.0,51.42,10.6,48.55,5.72
1946,Peace,John R. Mott,male,1865-05-25,,"Livingston Manor, NY",USA,for his contribution to the creation of a peace-promoting religious brotherhood across national boundaries,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1946,http://masterdataapi.nobelprize.org/2/laureate/507,81,,,North America,0.0,0.0,0.0,0.0,38.51,-100.3,38.51,-100.3
1946,Peace,Emily Greene Balch,female,1867-01-08,,"Boston, MA",USA,for her lifelong work for the cause of peace,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1946,http://masterdataapi.nobelprize.org/2/laureate/506,79,,,North America,0.0,0.0,0.0,0.0,38.51,-100.3,38.51,-100.3
1946,Physics,Percy W. Bridgman,male,1882-04-21,"Harvard University, Cambridge, MA, USA","Cambridge, MA",USA,"for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics",https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1946,http://masterdataapi.nobelprize.org/2/laureate/51,64,USA,North America,North America,38.51,-100.3,38.51,-100.3,38.51,-100.3,38.51,-100.3
1947,Literature,André Gide,male,1869-11-22,,Paris,France,"for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1947,http://masterdataapi.nobelprize.org/2/laureate/618,78,,,Europe,0.0,0.0,0.0,0.0,46.97,2.7,48.55,5.72
1947,Medicine,Bernardo Houssay,male,1887-04-10,"Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine), Buenos Aires, Argentina",Buenos Aires,Argentina,for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1947,http://masterdataapi.nobelprize.org/2/laureate/345,60,Argentina,Argentina,Argentina,-37.57,-66.3,-37.57,-66.3,-37.57,-66.3,-37.57,-66.3
1947,Chemistry,Sir Robert Robinson,male,1886-09-13,"University of Oxford, Oxford, United Kingdom","Rufford, near Chesterfield",United Kingdom,"for his investigations on plant products of biological importance, especially the alkaloids",https://masterdataapi.nobelprize.org/2/nobelPrize/che/1947,http://masterdataapi.nobelprize.org/2/laureate/207,61,United Kingdom,Europe,Europe,52.94,-1.23,48.55,5.72,52.94,-1.23,48.55,5.72
1947,Medicine,Carl Cori,male,1896-12-05,"Washington University, St. Louis, MO, USA",Prague,Czech Republic,for their discovery of the course of the catalytic conversion of glycogen,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1947,http://masterdataapi.nobelprize.org/2/laureate/343,51,USA,North America,Europe,38.51,-100.3,38.51,-100.3,49.9,15.61,48.55,5.72
1947,Physics,Edward V. Appleton,male,1892-09-06,"Department of Scientific and Industrial Research, London, United Kingdom",Bradford,United Kingdom,for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1947,http://masterdataapi.nobelprize.org/2/laureate/52,55,United Kingdom,Europe,Europe,52.94,-1.23,48.55,5.72,52.94,-1.23,48.55,5.72
1947,Medicine,Gerty Cori,female,1896-08-15,"Washington University, St. Louis, MO, USA",Prague,Czech Republic,for their discovery of the course of the catalytic conversion of glycogen,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1947,http://masterdataapi.nobelprize.org/2/laureate/344,51,USA,North America,Europe,38.51,-100.3,38.51,-100.3,49.9,15.61,48.55,5.72
1948,Literature,T.S. Eliot,male,1888-09-26,,"St. Louis, MO",USA,"for his outstanding, pioneer contribution to present-day poetry",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1948,http://masterdataapi.nobelprize.org/2/laureate/619,60,,,North America,0.0,0.0,0.0,0.0,38.51,-100.3,38.51,-100.3
1948,Physics,Patrick M.S. Blackett,male,1897-11-18,"Victoria University, Manchester, United Kingdom",London,United Kingdom,"for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation",https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1948,http://masterdataapi.nobelprize.org/2/laureate/53,51,United Kingdom,Europe,Europe,52.94,-1.23,48.55,5.72,52.94,-1.23,48.55,5.72
1948,Medicine,Paul Müller,male,1899-01-12,"Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.), Basel, Switzerland",Olten,Switzerland,for his discovery of the high efficiency of DDT as a contact poison against several arthropods,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1948,http://masterdataapi.nobelprize.org/2/laureate/346,49,Switzerland,Europe,Europe,47.0,8.43,48.55,5.72,47.0,8.43,48.55,5.72
1948,Chemistry,Arne Tiselius,male,1902-08-10,"Uppsala University, Uppsala, Sweden",Stockholm,Sweden,"for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins",https://masterdataapi.nobelprize.org/2/nobelPrize/che/1948,http://masterdataapi.nobelprize.org/2/laureate/208,46,Sweden,Europe,Europe,60.8,15.21,48.55,5.72,60.8,15.21,48.55,5.72
1949,Chemistry,William F. Giauque,male,1895-05-12,"University of California, Berkeley, CA, USA",Niagara Falls,Canada,"for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures",https://masterdataapi.nobelprize.org/2/nobelPrize/che/1949,http://masterdataapi.nobelprize.org/2/laureate/209,54,USA,North America,North America,38.51,-100.3,38.51,-100.3,54.98,-100.53,38.51,-100.3
1949,Physics,Hideki Yukawa,male,1907-01-23,"Kyoto Imperial University, Kyoto, Japan",Tokyo,Japan,for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1949,http://masterdataapi.nobelprize.org/2/laureate/54,42,Japan,Japan,Japan,36.98,139.59,36.98,139.59,36.98,139.59,36.98,139.59
1949,Peace,Lord Boyd Orr,male,1880-09-23,,Kilmaurs,Scotland,"for his lifelong effort to conquer hunger and want, thereby helping to remove a major cause of military conflict and war",https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1949,http://masterdataapi.nobelprize.org/2/laureate/510,69,,,Scotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1949,Medicine,Egas Moniz,male,1874-11-29,"University of Lisbon, Lisbon, Portugal",Avanca,Portugal,for his discovery of the therapeutic value of leucotomy in certain psychoses,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1949,http://masterdataapi.nobelprize.org/2/laureate/348,75,Portugal,Europe,Europe,39.76,-8.27,48.55,5.72,39.76,-8.27,48.55,5.72
1949,Literature,William Faulkner,male,1897-09-25,,"New Albany, MS",USA,for his powerful and artistically unique contribution to the modern American novel,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1949,http://masterdataapi.nobelprize.org/2/laureate/620,52,,,North America,0.0,0.0,0.0,0.0,38.51,-100.3,38.51,-100.3
1949,Medicine,Walter Hess,male,1881-03-17,"University of Zurich, Zurich, Switzerland",Frauenfeld,Switzerland,for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1949,http://masterdataapi.nobelprize.org/2/laureate/347,68,Switzerland,Europe,Europe,47.0,8.43,48.55,5.72,47.0,8.43,48.55,5.72
1950,Literature,Bertrand Russell,male,1872-05-18,,Trelleck,United Kingdom,in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1950,http://masterdataapi.nobelprize.org/2/laureate/621,78,,,Europe,0.0,0.0,0.0,0.0,52.94,-1.23,48.55,5.72
1950,Medicine,Edward C. Kendall,male,1886-03-08,"Mayo Clinic, Rochester, MN, USA","South Norwalk, CT",USA,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",https://masterdataapi.nobelprize.org/2/nobelPrize/med/1950,http://masterdataapi.nobelprize.org/2/laureate/349,64,USA,North America,North America,38.51,-100.3,38.51,-100.3,38.51,-100.3,38.51,-100.3
1950,Medicine,Tadeus Reichstein,male,1897-07-20,"Basel University, Basel, Switzerland",Wloclawek,Poland,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",https://masterdataapi.nobelprize.org/2/nobelPrize/med/1950,http://masterdataapi.nobelprize.org/2/laureate/350,53,Switzerland,Europe,Poland,47.0,8.43,48.55,5.72,0.0,0.0,0.0,0.0
1950,Chemistry,Otto Diels,male,1876-01-23,"Kiel University, Kiel, Germany",Hamburg,Germany,for their discovery and development of the diene synthesis,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1950,http://masterdataapi.nobelprize.org/2/laureate/210,74,Germany,Europe,Europe,51.42,10.6,48.55,5.72,51.42,10.6,48.55,5.72
1950,Medicine,Philip S. Hench,male,1896-02-28,"Mayo Clinic, Rochester, MN, USA","Pittsburgh, PA",USA,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",https://masterdataapi.nobelprize.org/2/nobelPrize/med/1950,http://masterdataapi.nobelprize.org/2/laureate/351,54,USA,North America,North America,38.51,-100.3,38.51,-100.3,38.51,-100.3,38.51,-100.3
1950,Chemistry,Kurt Alder,male,1902-07-10,"Cologne University, Cologne, Germany",Chorzów,Poland,for their discovery and development of the diene synthesis,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1950,http://masterdataapi.nobelprize.org/2/laureate/211,48,Germany,Europe,Poland,51.42,10.6,48.55,5.72,0.0,0.0,0.0,0.0
1950,Peace,Ralph Bunche,male,1904-08-07,"Harvard University, Cambridge, MA, USA","Detroit, MI",USA,for his work as mediator in Palestine in 1948-1949,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1950,http://masterdataapi.nobelprize.org/2/laureate/511,46,USA,North America,North America,38.51,-100.3,38.51,-100.3,38.51,-100.3,38.51,-100.3
